Game,Genre,Platform,Release Date,Series,Developer,Tier
Super Mario 64,3D Platformer,N64,1996,Super Mario,Nintendo,5
007: Goldeneye,FPS,N64,1997,007,Rare,4
Mario Kart 64,Racing,N64,1997,Mario Kart,Nintendo,2
LoZ: Ocarina of Time,Action Adventure,N64,1998,Legend of Zelda,Nintendo,6
Pokemon Stadium,Strategy,N64,1999,Pokemon Stadium,Nintendo,1
Super Smash Bros,Platform Fighter,N64,1999,Smash Bros,HAL Laboratory,2
LoZ: Majora's Mask,Action Adventure,N64,2000,Legend of Zelda,Nintendo,6
Pokemon Stadium 2,Strategy,N64,2000,Pokemon Stadium,Nintendo,2
Phoenix Wright: Ace Attorney,Visual Novel,DS,2001,Ace Attorney,Capcom,5
Super Smash Bros Melee,Platform Fighter,GC,2001,Super Smash Bros,HAL Laboratory,5
Jak and Daxter,Action Platformer,PS2,2001,Jak and Daxter,Naughty Dog,4
Simpsons: Road Rage,Action Adventure,PS2,2001,Simpsons,EA,1
LoZ: Wind Waker,Action Adventure,GC,2002,Legend of Zelda,Nintendo,6
Kirby: Nightmare in Dreamland,2D Platformer,GBA,2002,Kirby,HAL Laboratory,5
Super Mario Galaxy,3D Platformer,Wii,2002,Super Mario,Nintendo,5
Pokemon Gen 3,RPG,GBA,2002,Pokemon,Game Freak,5
Grand Theft Auto: Vice City,Action Adventure,PS2,2002,Grand Theft Auto,Rockstar,4
Super Mario Sunshine,3D Platformer,GC,2002,Super Mario,Nintendo,4
Ratchet and Clank ,Action Platformer,PS2,2002,Ratchet and Clank,Insomniac Games,4
Metroid Prime,FPS Adventure,GC,2002,Metroid,Nintendo,3
NBA Street,Sports,GC,2002,NBA Street,EA,3
Phoenix Wright: Justice For All,Visual Novel,DS,2002,Ace Attorney,Capcom,3
Fire Emblem: Blazing Blade,Tactical RPG,GBA,2003,Fire Emblem,Intelligent Systems,5
Tales of Symphonia,RPG,GC,2003,Tales,Namco,5
Pokemon Coliseum,RPG,GC,2003,Pokemon,Genius Sonority,4
